trans_date,cc_num,merchant,category,amt,gender,city_pop,age,job,hour,is_fraud
2019-03-25,6686820495604613,merchant_91,misc_net,82.39,F,757277,52,Lawyer,18,0
2019-10-29,4793534148056521,merchant_96,shopping_net,17.11,F,605342,30,Lawyer,13,0
2020-07-25,1645999695127539,merchant_175,home,15.57,M,242913,23,Analyst,19,0
2019-04-29,6048612243663539,merchant_117,health_fitness,14.51,F,387439,19,Nurse,15,0
2020-10-09,2440598995451722,merchant_63,food_dining,31.53,M,179502,74,Artist,11,0
2020-03-28,1795099634265311,merchant_195,grocery_pos,90.18,M,559728,22,Manager,8,0
2019-12-24,3803036110160181,merchant_156,misc_net,11.13,F,144407,48,Doctor,11,0
2019-08-30,3014736728274016,merchant_132,misc_net,412.05,F,535499,38,Clerk,10,0
2019-01-15,9903185487150058,merchant_121,health_fitness,290.91,M,86542,42,Analyst,19,0
2019-02-18,5448306547442509,merchant_176,food_dining,41.25,F,592645,65,Doctor,15,0
2020-11-07,3546689412547213,merchant_117,health_fitness,57.32,F,11075,53,Nurse,14,0
2020-03-29,3590328552252413,merchant_185,shopping_pos,46.54,F,36305,66,Farmer,18,0
2020-04-05,7365603181720362,merchant_164,shopping_net,9.13,M,421548,36,Chef,16,0
2020-12-02,4178616112995173,merchant_104,personal_care,29.31,F,338935,69,Clerk,8,0
2019-02-12,7861236940911771,merchant_94,food_dining,2.46,M,750959,60,Artist,19,0
2020-07-22,2137960666019355,merchant_9,food_dining,69.47,F,692294,49,Analyst,15,0
2019-10-19,1699301292888833,merchant_195,shopping_net,33.99,F,247914,23,Doctor,21,0
2020-11-30,9430692869618988,merchant_7,shopping_net,205.01,F,10451,55,Farmer,22,1
2020-12-08,5879278667256599,merchant_118,health_fitness,25.76,F,413859,63,Nurse,9,0
2020-01-18,7642919455986417,merchant_88,travel,52.65,M,681210,65,Artist,13,0
2020-07-27,5855381512883569,merchant_13,shopping_net,510.53,F,34106,73,Analyst,2,1
2020-03-17,8894645830930804,merchant_21,grocery_pos,21.74,F,458926,58,Artist,12,0
2019-12-09,8052970118095953,merchant_87,food_dining,60.28,M,142727,74,Doctor,18,0
2020-05-27,7679830482110303,merchant_87,health_fitness,29.03,M,183649,66,Teacher,16,0
2019-07-25,3007362176523878,merchant_101,kids_pets,26.16,F,571467,72,Artist,13,0
2020-10-03,9405304118421611,merchant_27,misc_net,813.54,F,42653,35,Driver,2,1
2019-03-13,2291264817380667,merchant_111,shopping_net,35.01,F,618383,60,Doctor,11,0
2019-07-30,4078412360100143,merchant_51,entertainment,117.66,F,780119,66,Clerk,19,0
2020-04-08,6377915213149069,merchant_99,personal_care,8.4,M,561340,74,Nurse,17,0
2019-09-05,8372209069011879,merchant_122,home,13.71,M,113518,52,Engineer,21,0
2020-12-18,3937116203345532,merchant_49,shopping_net,24.27,M,193331,59,Lawyer,11,0
2020-06-01,6346869959093357,merchant_16,grocery_pos,47.49,F,302235,65,Analyst,21,0
2020-06-14,5696438220974318,merchant_175,entertainment,31.95,F,414935,54,Teacher,18,0
2020-01-06,3572680191290456,merchant_31,shopping_pos,36.1,F,482261,51,Farmer,11,0
2020-01-22,9241057723996260,merchant_144,misc_pos,8.31,F,396265,64,Engineer,8,0
2020-07-22,4498851460164200,merchant_49,shopping_net,51.05,F,580096,39,Lawyer,10,0
2019-08-20,2850694891828901,merchant_31,shopping_pos,5.13,M,538257,26,Chef,14,0
2020-08-24,1894472573534584,merchant_14,gas_transport,31.22,M,615801,26,Analyst,17,0
2019-08-20,9697573990147188,merchant_37,travel,36.76,F,651729,40,Engineer,17,0
2019-02-02,1371045621543588,merchant_16,health_fitness,70.96,F,472571,28,Nurse,8,0
2019-05-01,2741527311478150,merchant_145,personal_care,1.4,M,485520,28,Engineer,10,0
2020-03-02,3855967244738716,merchant_17,grocery_pos,10.93,M,677079,35,Chef,11,0
2020-08-11,2094909773439212,merchant_32,shopping_pos,102.45,M,286268,24,Nurse,18,0
2019-09-20,4260434262941767,merchant_55,health_fitness,45.71,M,727672,33,Nurse,10,0
2020-05-24,7561446023318540,merchant_54,misc_pos,149.99,M,596546,63,Teacher,21,0
